C_1,C_2,h,r_0,Phi,RB,,
0,0.1,0.14,0.4,0.49,"0
",,
0,0.2,0.14,0.36,0.42,"0
",,
0,0.3,0.14,0.33,0.37,"0
",,
0.1,-0.3,0.14,0.36,0.42,"0.4544
",,
0.1,-0.2,0.14,0.38,0.47,"0.4858
",,
0.1,-0.1,0.14,0.41,0.53,"0.5449
",,
0.1,0,0.14,0.4,0.49,"0.3994
",,
0.1,0.1,0.14,0.36,0.42,"0.1924
",,
0.1,0.2,0.14,0.33,0.36,"0.0877
",,
0.1,0.3,0.14,0.31,0.32,"0
",,
0.2,-0.3,0.14,0.35,0.41,"0.5309
",,
0.2,-0.2,0.14,0.37,0.46,"0.5828
",,
0.2,-0.1,0.14,0.39,0.49,"0.6659
",,
0.2,0,0.14,0.36,0.42,"0.3619
",,
0.2,0.1,0.14,0.33,0.36,"0.2176
",,
0.2,0.2,0.14,0.31,0.31,"0.1816
",,
0.2,0.3,0.14,0.29,0.28,"0.1731
",,
0.3,-0.3,0.14,0.34,0.4,"0.5695
",,
0.3,-0.2,0.14,0.36,0.43,"0.6436
",,
0.3,-0.1,0.14,0.36,0.43,"0.6794
",,
0.3,0,0.14,0.33,0.37,"0.3603
",,
0.3,0.1,0.14,0.31,0.32,"0.2505
",,
0.3,0.2,0.14,0.29,0.28,"0.2151
",,
0.3,0.3,0.14,0.27,0.25,0.21,,
-0.3,-0.3,0.16,0.35,0.42,"0.1997
",,
-0.3,-0.2,0.16,0.38,0.48,"0.0725
",,
-0.3,-0.1,0.16,0.41,0.54,"0
",,
-0.3,0,0.16,0.42,0.58,"0
",,
-0.3,0.1,0.16,0.41,0.55,"0
",,
-0.3,0.2,0.16,0.39,0.5,"0
",,
-0.3,0.3,0.16,0.36,0.45,"0
",,
-0.2,-0.3,0.16,0.35,0.42,"0.2472
",,
-0.2,-0.2,0.16,0.38,0.48,"0.1532
",,
-0.2,-0.1,0.16,0.42,0.56,"0
",,
-0.2,0,0.16,0.45,0.64,"0
",,
-0.2,0.1,0.16,0.44,0.62,"0
",,
-0.2,0.2,0.16,0.41,0.56,"0
",,
-0.2,0.3,0.16,0.39,0.5,"0
",,
-0.1,-0.3,0.16,0.35,0.41,"0.3062
",,
-0.1,-0.2,0.16,0.38,0.47,"0.2535
",,
-0.1,-0.1,0.16,0.42,0.55,"0.1626
",,
-0.1,0,0.16,0.46,0.67,"0
",,
-0.1,0.1,0.16,0.43,0.57,"0
",,
-0.1,0.2,0.16,0.39,0.48,"0
",,
-0.1,0.3,0.16,0.35,0.41,"0
",,
0,-0.3,0.16,0.35,0.41,"0.3770
",,
0,-0.2,0.16,0.38,0.46,"0.3664
",,
0,-0.1,0.16,0.41,0.54,"0.3659
",,
0,0,0.16,0.43,0.57,"0.2553
",,
0,0.1,0.16,0.39,0.47,"0
",,
0,0.2,0.16,0.35,0.4,"0
",,
0,0.3,0.16,0.33,0.35,"0
",,
0.1,-0.3,0.16,0.35,0.4,"0.4529
",,
0.1,-0.2,0.16,0.37,0.45,"0.4754
",,
0.1,-0.1,0.16,0.4,0.51,"0.5203
",,
0.1,0,0.16,0.39,0.47,"0.3105
",,
0.1,0.1,0.16,0.35,0.4,"0.1282
",,
0.1,0.2,0.16,0.33,0.34,"0.0546
",,
0.1,0.3,0.16,0.3,0.3,"0
",,
